iter	Passed	Remaining
0	171	171243
1	173	86805
2	175	58448
3	177	44253
4	179	35679
5	180	29975
6	186	26392
7	187	23292
8	189	20819
9	190	18828
10	191	17207
11	193	15961
12	195	14812
13	200	14100
14	202	13271
15	203	12499
16	204	11834
17	206	11254
18	207	10723
19	208	10236
20	210	9791
21	212	9437
22	214	9097
23	215	8778
24	217	8463
25	218	8172
26	219	7900
27	224	7802
28	225	7564
29	228	7380
30	229	7172
31	230	6976
32	231	6791
33	233	6634
34	238	6570
35	240	6433
36	242	6305
37	243	6164
38	244	6027
39	246	5911
40	248	5810
41	256	5846
42	259	5766
43	260	5666
44	262	5577
45	268	5558
46	269	5470
47	270	5373
48	272	5289
49	274	5213
50	275	5126
51	276	5044
52	277	4965
53	279	4902
54	281	4828
55	282	4766
56	284	4703
57	285	4638
58	286	4573
59	288	4516
60	293	4516
61	294	4458
62	296	4407
63	297	4358
64	299	4312
65	300	4257
66	302	4213
67	307	4213
68	308	4163
69	310	4120
70	311	4079
71	312	4034
72	314	3988
73	315	3946
74	316	3909
75	318	3872
76	323	3877
77	325	3843
78	326	3808
79	328	3782
80	330	3750
81	332	3721
82	332	3678
83	340	3708
84	344	3706
85	345	3675
86	347	3644
87	348	3611
88	354	3624
89	355	3598
90	357	3572
91	359	3548
92	360	3517
93	361	3487
94	362	3457
95	368	3470
96	374	3487
97	377	3478
98	392	3567
99	429	3862
100	452	4026
101	493	4347
102	509	4440
103	512	4413
104	524	4469
105	526	4440
106	560	4675
107	574	4748
108	576	4714
109	583	4722
110	585	4691
111	588	4662
112	589	4629
113	591	4600
114	598	4605
115	600	4576
116	602	4543
117	603	4513
118	605	4481
119	607	4451
120	618	4490
121	619	4458
122	620	4425
123	621	4393
124	623	4366
125	628	4356
126	629	4328
127	631	4303
128	633	4276
129	634	4248
130	636	4225
131	638	4201
132	644	4201
133	646	4179
134	648	4152
135	649	4127
136	651	4106
137	653	4084
138	661	4096
139	662	4071
140	665	4053
141	666	4027
142	668	4004
143	669	3981
144	683	4029
145	685	4007
146	691	4015
147	693	3994
148	695	3974
149	697	3952
150	699	3931
151	701	3911
152	707	3914
153	709	3897
154	711	3876
155	712	3854
156	714	3836
157	719	3836
158	721	3818
159	723	3799
160	724	3776
161	726	3758
162	728	3741
163	730	3722
164	737	3732
165	739	3716
166	741	3700
167	743	3682
168	744	3662
169	752	3671
170	754	3656
171	756	3641
172	757	3623
173	759	3604
174	767	3616
175	769	3600
176	771	3585
177	772	3567
178	774	3552
179	779	3552
180	788	3568
181	790	3553
182	796	3555
183	798	3541
184	800	3526
185	802	3512
186	804	3499
187	806	3482
188	815	3498
189	861	3673
190	863	3658
191	865	3642
192	889	3719
193	897	3730
194	900	3716
195	902	3700
196	904	3685
197	911	3690
198	913	3676
199	917	3668
200	919	3655
201	925	3656
202	928	3646
203	931	3635
204	933	3618
205	935	3604
206	940	3601
207	942	3588
208	944	3574
209	946	3559
210	948	3546
211	950	3532
212	955	3531
213	957	3518
214	964	3523
215	974	3538
216	981	3542
217	989	3550
218	993	3542
219	995	3529
220	1008	3554
221	1010	3541
222	1012	3529
223	1015	3517
224	1021	3519
225	1024	3507
226	1026	3496
227	1028	3483
228	1030	3470
229	1033	3461
230	1046	3483
231	1049	3473
232	1067	3514
233	1074	3516
234	1076	3503
235	1081	3501
236	1083	3489
237	1086	3478
238	1088	3465
239	1090	3453
240	1098	3460
241	1102	3451
242	1105	3445
243	1114	3454
244	1117	3443
245	1119	3431
246	1125	3431
247	1127	3419
248	1129	3407
249	1132	3396
250	1134	3384
251	1136	3372
252	1144	3379
253	1146	3367
254	1148	3355
255	1157	3364
256	1178	3406
257	1180	3395
258	1186	3395
259	1188	3383
260	1190	3372
261	1193	3360
262	1195	3349
263	1200	3347
264	1203	3337
265	1205	3326
266	1207	3315
267	1210	3306
268	1220	3316
269	1233	3336
270	1236	3326
271	1240	3319
272	1242	3308
273	1257	3332
274	1260	3323
275	1277	3351
276	1279	3340
277	1285	3339
278	1289	3333
279	1291	3321
280	1293	3310
281	1295	3299
282	1299	3292
283	1301	3281
284	1303	3270
285	1311	3275
286	1318	3275
287	1338	3307
288	1359	3344
289	1363	3339
290	1366	3328
291	1372	3328
292	1380	3332
293	1388	3334
294	1391	3324
295	1393	3314
296	1395	3303
297	1398	3293
298	1406	3296
299	1408	3286
300	1413	3283
301	1425	3295
302	1428	3285
303	1439	3295
304	1445	3293
305	1453	3296
306	1455	3286
307	1457	3275
308	1460	3265
309	1475	3285
310	1478	3274
311	1485	3274
312	1487	3263
313	1489	3254
314	1492	3245
315	1494	3234
316	1497	3227
317	1500	3217
318	1502	3207
319	1504	3197
320	1506	3187
321	1508	3176
322	1510	3166
323	1512	3156
324	1515	3146
325	1517	3136
326	1532	3153
327	1540	3155
328	1542	3146
329	1544	3136
330	1547	3126
331	1548	3116
332	1555	3114
333	1557	3105
334	1559	3095
335	1560	3084
336	1562	3074
337	1565	3065
338	1567	3055
339	1568	3045
340	1570	3034
341	1572	3025
342	1574	3016
343	1580	3013
344	1582	3004
345	1584	2994
346	1586	2984
347	1588	2975
348	1589	2965
349	1595	2962
350	1597	2953
351	1598	2943
352	1600	2933
353	1602	2924
354	1604	2914
355	1605	2904
356	1612	2903
357	1614	2894
358	1616	2885
359	1617	2875
360	1618	2865
361	1620	2855
362	1625	2852
363	1632	2853
364	1634	2843
365	1636	2834
366	1641	2830
367	1642	2821
368	1644	2812
369	1645	2802
370	1646	2791
371	1648	2782
372	1650	2773
373	1651	2763
374	1656	2760
375	1658	2751
376	1659	2741
377	1660	2732
378	1661	2722
379	1663	2713
380	1664	2704
381	1666	2695
382	1671	2692
383	1673	2684
384	1674	2674
385	1676	2665
386	1677	2657
387	1678	2647
388	1679	2638
389	1681	2629
390	1686	2627
391	1687	2618
392	1689	2609
393	1691	2601
394	1692	2592
395	1693	2583
396	1694	2573
397	1696	2565
398	1707	2571
399	1713	2569
400	1718	2567
401	1721	2560
402	1729	2561
403	1731	2553
404	1732	2545
405	1734	2537
406	1736	2529
407	1737	2521
408	1738	2512
409	1740	2503
410	1746	2502
411	1747	2493
412	1748	2485
413	1750	2477
414	1751	2469
415	1753	2461
416	1755	2453
417	1760	2451
418	1761	2442
419	1763	2435
420	1765	2427
421	1766	2419
422	1767	2411
423	1769	2403
424	1774	2400
425	1775	2392
426	1777	2385
427	1779	2377
428	1780	2369
429	1781	2361
430	1782	2353
431	1784	2345
432	1785	2338
433	1787	2331
434	1789	2324
435	1790	2316
436	1792	2308
437	1793	2300
438	1794	2293
439	1796	2286
440	1797	2278
441	1802	2276
442	1804	2269
443	1805	2261
444	1807	2254
445	1809	2247
446	1810	2239
447	1811	2232
448	1812	2224
449	1820	2224
450	1825	2222
451	1833	2222
452	1835	2215
453	1836	2209
454	1838	2202
455	1840	2195
456	1841	2188
457	1843	2181
458	1848	2178
459	1850	2172
460	1852	2165
461	1853	2158
462	1854	2150
463	1855	2143
464	1857	2136
465	1858	2130
466	1863	2127
467	1865	2120
468	1866	2113
469	1867	2106
470	1869	2099
471	1870	2092
472	1872	2086
473	1873	2079
474	1878	2076
475	1880	2070
476	1881	2062
477	1882	2056
478	1884	2049
479	1885	2043
480	1886	2036
481	1888	2029
482	1894	2028
483	1896	2021
484	1897	2015
485	1899	2008
486	1900	2002
487	1901	1995
488	1902	1988
489	1909	1987
490	1916	1986
491	1917	1979
492	1919	1973
493	1924	1971
494	1926	1965
495	1928	1959
496	1929	1952
497	1930	1945
498	1931	1939
499	1933	1933
500	1934	1927
501	1937	1921
502	1939	1915
503	1940	1909
504	1941	1902
505	1943	1896
506	1945	1892
507	1946	1885
508	1951	1882
509	1953	1876
510	1954	1870
511	1955	1864
512	1957	1858
513	1959	1852
514	1960	1846
515	1961	1839
516	1966	1837
517	1968	1831
518	1969	1825
519	1971	1819
520	1973	1814
521	1974	1807
522	1975	1801
523	1977	1795
524	1978	1790
525	1980	1784
526	1982	1779
527	1983	1773
528	1985	1767
529	1986	1761
530	1987	1755
531	1992	1752
532	1999	1751
533	2001	1746
534	2002	1740
535	2004	1734
536	2009	1732
537	2010	1726
538	2012	1721
539	2013	1715
540	2015	1709
541	2016	1704
542	2018	1698
543	2019	1692
544	2024	1690
545	2026	1685
546	2027	1679
547	2029	1673
548	2030	1668
549	2032	1662
550	2033	1656
551	2034	1651
552	2040	1649
553	2041	1643
554	2043	1638
555	2045	1633
556	2046	1627
557	2047	1621
558	2048	1616
559	2053	1613
560	2055	1608
561	2056	1603
562	2058	1597
563	2061	1593
564	2063	1589
565	2065	1583
566	2066	1577
567	2067	1572
568	2069	1567
569	2070	1562
570	2077	1560
571	2078	1555
572	2079	1549
573	2080	1544
574	2082	1539
575	2084	1534
576	2085	1529
577	2094	1528
578	2099	1526
579	2100	1521
580	2101	1515
581	2108	1514
582	2109	1509
583	2111	1504
584	2112	1498
585	2114	1493
586	2115	1488
587	2117	1483
588	2122	1481
589	2124	1476
590	2126	1471
591	2127	1466
592	2129	1461
593	2130	1456
594	2132	1451
595	2137	1449
596	2139	1444
597	2141	1439
598	2142	1434
599	2143	1428
600	2145	1424
601	2146	1419
602	2150	1415
603	2152	1411
604	2153	1406
605	2154	1401
606	2156	1395
607	2157	1391
608	2159	1386
609	2160	1381
610	2161	1376
611	2163	1371
612	2164	1366
613	2166	1361
614	2167	1357
615	2169	1352
616	2170	1347
617	2171	1342
618	2178	1341
619	2180	1336
620	2181	1331
621	2183	1326
622	2185	1322
623	2186	1317
624	2188	1313
625	2189	1308
626	2191	1303
627	2201	1304
628	2203	1299
629	2205	1295
630	2206	1290
631	2208	1286
632	2210	1281
633	2216	1279
634	2218	1275
635	2219	1270
636	2222	1266
637	2224	1262
638	2226	1257
639	2228	1253
640	2229	1248
641	2232	1244
642	2234	1240
643	2235	1235
644	2241	1233
645	2243	1229
646	2245	1225
647	2248	1221
648	2249	1216
649	2251	1212
650	2257	1210
651	2262	1207
652	2268	1205
653	2270	1201
654	2273	1197
655	2274	1192
656	2276	1188
657	2279	1184
658	2285	1182
659	2287	1178
660	2289	1174
661	2291	1169
662	2293	1165
663	2294	1161
664	2302	1159
665	2303	1155
666	2305	1151
667	2307	1146
668	2309	1142
669	2315	1140
670	2318	1136
671	2321	1132
672	2322	1128
673	2324	1124
674	2330	1122
675	2332	1118
676	2335	1114
677	2336	1109
678	2338	1105
679	2344	1103
680	2351	1101
681	2353	1097
682	2360	1095
683	2362	1091
684	2364	1087
685	2366	1083
686	2368	1079
687	2370	1074
688	2377	1073
689	2379	1068
690	2381	1064
691	2383	1060
692	2384	1056
693	2391	1054
694	2393	1050
695	2396	1046
